"USAF","WBAN","STATION NAME","CTRY","STATE","ICAO","LAT","LON","ELEV(M)","BEGIN","END"
"999999","24153","MISSOULA JOHNSON-BELL FLD","US","MT","KMSO","+46.921","-114.093","+0972.0","19480101","19721231"
"999999","24154","MULLAN PASS VOR/DME","US","ID","KMLP","+47.457","-115.645","+1851.4","19480101","19550101"
"999999","24155","PENDLETON MUNICIPAL ARPT","US","OR","KPDT","+45.698","-118.855","+0461.5","19380101","19721231"
"999999","24156","POCATELLO MUNICIPAL ARPT","US","ID","KPIH","+42.920","-112.571","+1364.9","19480101","19721231"
"999999","24157","SPOKANE","US","WA","KGEG","+47.622","-117.528","+0720.9","19680101","19711231"
"999999","24158","STREVELL","US","ID","4SV","+42.017","-113.250","+1609.3","19480101","19501216"
"999999","24159","SUPERIOR","US","MT","","+47.200","-114.883","+0826.0","19480101","19531114"
"999999","24160","WALLA WALLA MUNICIPAL AP","US","WA","KALW","+46.095","-118.287","+0367.3","19660101","19660101"
"999999","24161","WHITEHALL","US","MT","4HA","+45.867","-111.967","+1303.9","19480101","19550101"
"999999","24162","ONTARIO AIRPORT","US","OR","KONO","+44.021","-117.013","+0668.4","19480101","19550101"
"999999","24163","PASCO NAS","US","WA","KPSC","+46.267","-119.117","+0122.5","19450401","19460601"
"999999","24172","LOVELOCK DERBY FIELD","US","NV","KLOL","+40.068","-118.569","+1189.9","19481101","19761231"
"999999","24193","WENDOVER USAF AUXILIARY FIELD","US","UT","KENV","+40.721","-114.036","+1290.8","19500308","19721231"
"999999","24207","TACOMA MCCHORD AAF","US","WA","KTCM","+47.150","-122.483","+0098.5","19710101","19721231"
"999999","24212","BURNEY","US","CA","KBNY","+40.883","-121.667","+0962.6","19480101","19480927"
"999999","24215","MOUNT SHASTA","US","CA","KMHS","+41.333","-122.333","+1077.5","19480401","19761231"
"999999","24216","RED BLUFF MUNICIPAL ARPT","US","CA","KRBL","+40.152","-122.254","+0107.6","19480101","19721231"
